x1 x2 v a psi kappa t
0.000000 
-0.010000 0.160000 1.120000 0.000000 3.141593 0.000000 0.000000
-0.020000 0.160000 1.120000 0.000000 3.141593 0.000000 0.008929
-0.030000 0.160000 1.120000 0.000000 3.141593 0.000000 0.017857
-0.040000 0.160000 1.120000 0.000000 3.141593 0.000000 0.026786
-0.050000 0.160000 1.120000 0.000000 3.141593 0.000000 0.035714
-0.060000 0.160000 1.120000 0.000000 3.141593 0.000000 0.044643
-0.070000 0.160000 1.120000 0.000000 3.141593 0.000000 0.053571
-0.080000 0.160000 1.120000 0.000000 3.141593 0.000000 0.062500
-0.090000 0.160000 1.120000 0.000000 3.141593 0.000000 0.071429
-0.100000 0.160000 1.120000 0.000000 3.141593 0.000000 0.080357
-0.110000 0.160000 1.120000 0.000000 3.141593 0.000000 0.089286
-0.120000 0.160000 1.120000 0.000000 3.141593 0.000000 0.098214
-0.130000 0.160000 1.120000 0.000000 3.141593 0.000000 0.107143
-0.140000 0.160000 1.120000 0.000000 3.141593 0.000000 0.116071
-0.150000 0.160000 1.120000 0.000000 3.141593 0.000000 0.125000
-0.160000 0.160000 1.120000 0.000000 3.141593 0.000000 0.133929
-0.170000 0.160000 1.120000 0.000000 3.141593 0.000000 0.142857
-0.180000 0.160000 1.120000 0.000000 3.141593 0.000000 0.151786
-0.190000 0.160000 1.120000 0.000000 3.141593 0.000000 0.160714
-0.200000 0.160000 1.120000 0.000000 3.141593 0.000000 0.169643
-0.210000 0.160000 1.120000 0.000000 3.141593 0.000000 0.178571
-0.220000 0.160000 1.120000 0.000000 3.141593 0.000000 0.187500
-0.230000 0.160000 1.120000 0.000000 3.141593 0.000000 0.196429
-0.240000 0.160000 1.120000 0.000000 3.141593 0.000000 0.205357
-0.250000 0.160000 1.120000 0.000000 3.141593 0.000000 0.214286
-0.260000 0.160000 1.120000 0.000000 3.141593 0.000000 0.223214
-0.270000 0.160000 1.120000 0.000000 3.141593 0.000000 0.232143
-0.280000 0.160000 1.120000 0.000000 3.141593 0.000000 0.241071
-0.290000 0.160000 1.120000 0.000000 3.141593 0.000000 0.250000
